Year,PR
01/2018,14.79
02/2018,16.0
03/2018,16.97
04/2018,17.0
05/2018,17.0
06/2018,17.0
07/2018,17.31
08/2018,17.5
09/2018,17.9
10/2018,18.0
11/2018,18.0
12/2018,18.0
01/2019,18.0
02/2019,18.0
03/2019,18.0
04/2019,17.92
05/2019,17.5
06/2019,17.5
07/2019,17.29
08/2019,17.0
09/2019,16.58
10/2019,16.27
11/2019,15.5
12/2019,14.27
01/2020,13.42
02/2020,11.0
03/2020,10.39
04/2020,9.53
05/2020,8.0
06/2020,6.73
07/2020,6.0
08/2020,6.0
09/2020,6.0
10/2020,6.0
11/2020,6.0
12/2020,6.0
01/2021,6.0
02/2021,6.0
03/2021,6.44
04/2021,7.0
05/2021,7.5
06/2021,7.5
07/2021,7.65
08/2021,8.0
09/2021,8.35
10/2021,8.5
11/2021,8.5
12/2021,8.85
01/2022,9.35
02/2022,10.0
03/2022,10.0
04/2022,10.0
05/2022,10.0
06/2022,24.0
07/2022,25.0
08/2022,25.0
09/2022,25.0
10/2022,25.0
11/2022,25.0
12/2022,25.0
01/2023,25.0
02/2023,25.0
03/2023,25.0
04/2023,25.0
05/2023,25.0
06/2023,25.0
07/2023,24.61
08/2023,22.0
09/2023,20.93
10/2023,19.35
11/2023,16.0
12/2023,15.45
01/2024,15.0
02/2024,15.0
03/2024,14.73
04/2024,14.46
