date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2019-02-01,0.3398922592841487,0.0923281059819169,0.2042205763143601,0.2203152327835197,0.3921659670948509,0.1376510673089889,0.1344918005635612,0.1221489679863444,0.1169826556221158,0.0994480802313162,0.1206184605611469
2019-04-01,0.3308114856054187,0.0620659897019354,0.1718838258450361,0.1874355293033053,0.375743824796178,0.0957889389989993,0.0984514129721355,0.1030595216714439,0.1135821095150414,0.1129671238617219,0.1872028789921827
2019-05-01,0.322512916174041,0.0606425375759156,0.1374902791483595,0.1904807672418281,0.3669924272131869,0.0790565852226359,0.0675008422795637,0.095444700048505,0.1040903181611113,0.0543854184767129,0.134016805117685
2019-06-01,0.3261201968387363,0.0942870359583773,0.1534277853661568,0.1994043563400664,0.3576421705530272,0.0810856714174367,0.0780695720483421,0.1004068002372039,0.1198243639722199,0.0769172571630123,0.1160397670593099
2019-07-01,0.316442825669543,0.0510343395260551,0.1522432159396249,0.1873057179382122,0.3311611918216493,0.0891837161670129,0.0693695443291534,0.0784357981461859,0.07977635106099,0.113882523821408,0.1254522401898601
2019-08-01,0.3132717090204751,0.0710792830394505,0.1542098412977876,0.1677075036841276,0.3589458273841478,0.0907119114526003,0.0773544182610957,0.1448492434582377,0.1131297475244063,0.0681622720362203,0.1186717530614945
2019-09-01,0.3070220633159826,0.0676164218693107,0.1048781975078049,0.1588318325686644,0.343790326982017,0.0716252483422845,0.047534335361903,0.0926781682787596,0.0884311226795749,0.0638325387517623,0.0857445513084669
2019-10-01,0.3131829941661849,0.1011013569711352,0.1652530138160861,0.1576969533355167,0.3622501464423482,0.1175009366671271,0.0779183260729207,0.1483693006436179,0.1153706976460219,0.1139344124865532,0.1511675026770858
2019-11-01,0.3071734485411858,0.0990606446027621,0.150461028023292,0.1756137060785244,0.35724589529405,0.1434793648965018,0.094829232911208,0.1431932711697056,0.1082181879941062,0.1122233358186305,0.1340370146261632
2019-12-01,0.3041710517625284,0.0835318917856553,0.1685241777244634,0.1494539221297009,0.3451903140857645,0.1283767807491433,0.1476090793952759,0.1457607354977534,0.1277498557441757,0.0843614634048345,0.1728445729973137
2020-01-01,0.3230161277248996,0.1063673452680688,0.1917743634737092,0.1773414385982404,0.3539800415231396,0.2195666076572187,0.2680681471700026,0.1455801081740262,0.1738052860771529,0.1965500512535452,0.1766055795305606
2020-02-01,0.3191063062485199,0.2222836012973273,0.2065836052403031,0.1621454054575329,0.319544185525256,0.2501976663623063,0.2700640576020037,0.2196442838962249,0.185026930314522,0.1563620524615295,0.1689397150948393
2020-03-01,0.3287972359804301,0.2354231877528562,0.2196367024060345,0.1712361412282304,0.3374149687156134,0.2979736268215612,0.2453254193116304,0.2086286742784746,0.1745089892792175,0.1719157717506012,0.1453610142418488
2020-04-01,0.329628397730636,0.1160056178565145,0.1701870244125676,0.1696208628644753,0.3308211202427331,0.1828974719813548,0.0791928526478956,0.1534308536381242,0.1262023504875244,0.078778639144134,0.1464139493409468
2020-05-01,0.351672265590206,0.1489655261936549,0.194261789903632,0.170721549212736,0.3479980189027232,0.1801746627276846,0.1338425599671562,0.1863015069155615,0.1109723320763498,0.1204998675513962,0.1559755004358843
2020-06-01,0.3571026122664849,0.1968631499798726,0.2251386542553442,0.2065125365700401,0.3579826440845446,0.180036673408947,0.1583559639424531,0.2138598898589696,0.1419672455189707,0.1565990739900194,0.1428681680518899
2020-07-01,0.3391339094758695,0.1883746219658049,0.24335122746555,0.1833810324237062,0.4078214722148957,0.195476509051645,0.1480569520503048,0.2367419593830582,0.1602752980679337,0.1574599742895544,0.1331141208741831
2020-09-01,0.3376902324989562,0.1354136055168568,0.2076871830763736,0.1850645006506153,0.3914276310135878,0.1859629457247007,0.1464484232741454,0.1995100974840028,0.1309351670984741,0.1559147023152271,0.14100895842806
2020-10-01,0.3484563398234225,0.1282225092062102,0.2209213176862429,0.1904434189262265,0.4215882023304706,0.1852509088710701,0.1748561231176457,0.2196582225773657,0.1271028822501428,0.1534253445258312,0.1567752982096782
2020-11-01,0.3795618946411603,0.1602938670238888,0.2381558295579963,0.186609890928121,0.4115974372615613,0.1834662424609753,0.1892613539226316,0.1860304751832938,0.1349109907577368,0.1385181085400273,0.1683829680949728
2020-12-01,0.3965608045507277,0.146920933050796,0.2220341454517022,0.2121196918211963,0.4173828521266955,0.1592688242571199,0.1649680950579492,0.1733259413505039,0.1346945506560514,0.1351717117753636,0.1687320522725002
2021-02-01,0.420837188535682,0.1709673069013557,0.2344773922080012,0.2588486358055749,0.4602153814574533,0.1802288836320855,0.2751453853937051,0.251541978312671,0.1897615645029434,0.1436625768455661,0.3076873888575553
2021-03-01,0.4172956157332059,0.1613668329274906,0.2264963426464827,0.25515231061255,0.4343814194155247,0.2008021785213908,0.2598206593750166,0.2482196929732971,0.1901500179941679,0.1374094346615627,0.2967111579171402
